filename,gender,bodyPartFolder,matchedId,matchedName,tier,score,uploaded,uploadError
"Dumbbell Lying Femoral.mp4","male","Hips","FkBIE6a","dumbbell lying femoral","exact","1.00","true",""
"Dumbbell Single Leg Squat.mp4","male","Hips","H6ybluc","dumbbell single leg squat","exact","1.00","true",""
"Dumbbell Squat.mp4","male","Hips","HsvHqgf","dumbbell squat","exact","1.00","true",""
"Lever Horizontal Leg Press.mp4","male","Hips","V07qpXy","lever alternate leg press","gemini","","true",""
"Lever Kneeling Leg Curl.mp4","male","Hips","nnmCTLN","lever kneeling leg curl","exact","1.00","true",""
"Lever Leg Extension.mp4","male","Hips","my33uHU","lever leg extension","exact","1.00","true",""
"Lever Lying Leg Curl.mp4","male","Hips","17lJ1kr","lever lying leg curl","exact","1.00","true",""
"Lever Seated Hip Abduction.mp4","male","Hips","CHpahtl","lever seated hip abduction","exact","1.00","true",""
"Lever Seated Hip Adduction.mp4","male","Hips","oHsrypV","lever seated hip adduction","exact","1.00","true",""
"Lever Seated Leg Curl.mp4","male","Hips","Zg3XY7P","lever seated leg curl","exact","1.00","true",""
"Lever Standing Hip Extension.mp4","male","Hips","OPqShYN","lever hip extension v. 2","gemini","","true",""
"Lever Standing Rear Kick.mp4","male","Hips","","","unmatched","","",""
"Rear Decline Bridge.mp4","male","Hips","UpAlold","rear decline bridge","exact","1.00","true",""
"Sled 45 Degree Leg Wide Press.mp4","male","Hips","tj41Nu6","sled 45в° leg wide press","gemini","","true",""
"Sled Hack Squat.mp4","male","Hips","Qa55kX1","sled hack squat","exact","1.00","true",""
"Smith Chair Squat.mp4","male","Hips","Gu2rNJd","smith chair squat","exact","1.00","true",""
"Smith Leg Press.mp4","male","Hips","7zdxRTl","smith leg press","exact","1.00","true",""
"Squat.mp4","male","Hips","","","unmatched","","",""
"Stretching - Adductor stretch.mp4","male","Hips","","","unmatched","","",""
"Stretching - All Fours Squad Stretch.mp4","male","Hips","qBcKorM","all fours squad stretch","gemini","","true",""
"Stretching - Boat Stretch.mp4","male","Hips","","","unmatched","","",""
"Stretching - Ceiling Look Stretch.mp4","male","Hips","","","unmatched","","",""
"Stretching - Crossover Kneeling Hip Flexor Stretch.mp4","male","Hips","","","unmatched","","",""
"Stretching - Hamstring Stretch.mp4","male","Hips","sU5BrfP","leg up hamstring stretch","gemini","","true",""
"Stretching - Hip Circles Stretch.mp4","male","Hips","","","unmatched","","",""
"Stretching - Hip Extension Stretch.mp4","male","Hips","OPqShYN","lever hip extension v. 2","gemini","","true",""
"Stretching - Hip Flexor and Quad Stretch.mp4","male","Hips","tFGKm99","intermediate hip flexor and quad stretch","gemini","","true",""
"Stretching - Hip Flexor Stretch Rear foot elevated.mp4","male","Hips","tFGKm99","intermediate hip flexor and quad stretch","gemini","","true",""
"Stretching - Knee Raise.mp4","male","Hips","","","unmatched","","",""
"Stretching - Quadriceps lying stretch.mp4","male","Hips","YUYAMEj","assisted prone lying quads stretch","gemini","","true",""
"Stretching - Quadriceps stretch.mp4","male","Hips","","","unmatched","","",""
"Stretching - Runners Stretch.mp4","male","Hips","99rWm7w","hamstring stretch","gemini","","true",""
"Weighted Sissy Squat.mp4","male","Hips","0lQnxMZ","weighted sissy squat","exact","1.00","true",""
"Band Bent-over Rear Lateral Raise.mp4","male","Shoulders","","","unmatched","","",""
"Band One Arm Forward Raise.mp4","male","Shoulders","","","unmatched","","",""
"Band Standing Rear Delt Row.mp4","male","Shoulders","tc5dYrf","band standing rear delt row","exact","1.00","true",""
"Barbell Front Raise.mp4","male","Shoulders","b2Uoz54","barbell front raise","exact","1.00","true",""
"Barbell Seated Behind Head Military Press.mp4","male","Shoulders","ngPpyRS","barbell seated behind head military press","exact","1.00","true",""
"Barbell Upright Row (wide-grip).mp4","male","Shoulders","UDlhcO8","barbell upright row","exact","1.00","true",""
"Cable Crossover Reverse Fly.mp4","male","Shoulders","PQcUlDi","cable supine reverse fly","gemini","","true",""
"Cable Front Raise.mp4","male","Shoulders","u2X71Np","cable front raise","exact","1.00","true",""
"Cable Lateral Raise.mp4","male","Shoulders","goJ6ezq","cable lateral raise","exact","1.00","true",""
"Cable One Arm Forward Raise.mp4","male","Shoulders","hvHhCv8","cable forward raise","gemini","","true",""
"Cable One Arm Lateral Raise.mp4","male","Shoulders","wEulIzp","cable one arm lateral raise","exact","1.00","true",""
"Cable Rear Delt Row (with rope).mp4","male","Shoulders","wqNPGCg","cable rear delt row (with rope)","gemini","","true",""
"Dumbbell Alternate Shoulder Press.mp4","male","Shoulders","izMnLqz","dumbbell alternate side press","gemini","","true",""
"Dumbbell Arnold Press.mp4","male","Shoulders","Xy4jlWA","dumbbell arnold press","exact","1.00","true",""
"Dumbbell Bench Seated Press.mp4","male","Shoulders","3d7wHyd","dumbbell bench seated press","exact","1.00","true",""
"Dumbbell Front Raise.mp4","male","Shoulders","3eGE2JC","dumbbell front raise","exact","1.00","true",""
"Dumbbell Incline Hammer Press.mp4","male","Shoulders","PG1kcIb","dumbbell incline hammer press","exact","1.00","true",""
"Dumbbell Incline Rear Lateral Raise.mp4","male","Shoulders","vYk8lqw","dumbbell incline rear lateral raise","exact","1.00","true",""
"Dumbbell Iron Cross.mp4","male","Shoulders","cALkHHX","dumbbell iron cross","exact","1.00","true",""
"Dumbbell Lateral Raise.mp4","male","Shoulders","DsgkuIt","dumbbell lateral raise","exact","1.00","true",""
"Dumbbell One Arm Lateral Raise.mp4","male","Shoulders","n5cWCsI","dumbbell one arm lateral raise","exact","1.00","true",""
"Dumbbell Rear Delt Row.mp4","male","Shoulders","EKXOMEh","dumbbell rear delt row_shoulder","gemini","","true",""
"Dumbbell Rear Lateral Raise.mp4","male","Shoulders","v1qBec9","dumbbell rear lateral raise","gemini","","true",""
"Dumbbell Seated Front Raise.mp4","male","Shoulders","Ys97II0","dumbbell seated front raise","exact","1.00","true",""
"Dumbbell Seated Lateral Raise.mp4","male","Shoulders","hxyTtWj","dumbbell seated lateral raise","exact","1.00","true",""
"Dumbbell Upright Row.mp4","male","Shoulders","ainizkb","dumbbell upright row","gemini","","true",""
"EZ Barbell Anti Gravity Press.mp4","male","Shoulders","fprd84i","ez barbell anti gravity press","exact","1.00","true",""
"Lever Lateral Raise.mp4","male","Shoulders","dRTfGZT","lever lateral raise","exact","1.00","true",""
"Lever Military Press.mp4","male","Shoulders","CggQhII","lever military press","exact","1.00","true",""
"Lever Seated Reverse Fly.mp4","male","Shoulders","myfUsKf","lever seated reverse fly","gemini","","true",""
"Military Press.mp4","male","Shoulders","","","unmatched","","",""
"Smith Seated Shoulder Press.mp4","male","Shoulders","xUwnBMT","smith seated shoulder press","exact","1.00","true",""
"Stretching - Band Warm-up Shoulder Stretch.mp4","male","Shoulders","","","unmatched","","",""
"Stretching - Rear Deltoid Stretch.mp4","male","Shoulders","xifhB5W","rear deltoid stretch","gemini","","true",""
"Stretching - Seated Shoulder Flexor Depresor Retractor.mp4","male","Shoulders","8coXSYU","roller seated shoulder flexor depresor retractor","gemini","","true",""
"Barbell Rear Delt Raise.mp4","male","Trapezius","Ln9iTbU","barbell rear delt raise","exact","1.00","true",""
"Barbell Shrug.mp4","male","Trapezius","dG7tG5y","barbell shrug","exact","1.00","true",""
"Dumbbell Incline Shrug.mp4","male","Trapezius","JymLInS","dumbbell incline shrug","exact","1.00","true",""
"Dumbbell Shrug.mp4","male","Trapezius","NJzBsGJ","dumbbell shrug","exact","1.00","true",""
"Lever Shrug.mp4","male","Trapezius","ZZKbeMw","lever shrug","exact","1.00","true",""
"Scapula Dips.mp4","male","Trapezius","7xeukSt","scapula dips","exact","1.00","true",""
"Stretching - Neck Side Stretch.mp4","male","Trapezius","x2chWLO","neck side stretch","gemini","","true",""
"Band Overhead Triceps Extension.mp4","male","Triceps","","","unmatched","","",""
"Band Side Triceps Pushdown.mp4","male","Triceps","obe5LMq","band side triceps extension","gemini","","true",""
"Band Triceps Pushdown.mp4","male","Triceps","9tvVVM9","flexible cable triceps pushdown (v-bar)","gemini","","true",""
"Barbell Close Grip Bench Press.mp4","male","Triceps","J6Dx1Mu","barbell close-grip bench press","gemini","","true",""
"Bench Dips.mp4","male","Triceps","RrLske5","bench dip (knees bent)","gemini","","true",""
"Cable Lying Triceps Extension.mp4","male","Triceps","uxJcFUU","cable lying triceps extension v. 2","near_exact","1.00","true",""
"Cable Overhead Triceps Extension (rope attachment).mp4","male","Triceps","2IxROQ1","cable overhead triceps extension (rope attachment)","exact","1.00","true",""
"Cable Pushdown (rope attachment).mp4","male","Triceps","dU605di","cable pushdown (with rope attachment)","gemini","","true",""
"Cable Rope High Pulley Overhead Triceps Extension.mp4","male","Triceps","NN8nSNT","cable rope high pulley overhead tricep extension","gemini","","true",""
"Cable Standing One Arm Triceps Extension.mp4","male","Triceps","sYCcnon","cable standing one arm triceps extension","exact","1.00","true",""
"Cable Triceps Pushdown.mp4","male","Triceps","gAwDzB3","cable triceps pushdown (v-bar)","gemini","","true",""
"Close Grip Push-ups.mp4","male","Triceps","x6KpKpq","close-grip push-up","gemini","","true",""
"Dumbbell Close Grip Press.mp4","male","Triceps","7jGOBF3","dumbbell close grip press","gemini","","true",""
"Dumbbell Incline Triceps Extension.mp4","male","Triceps","OVIKwsd","dumbbell incline triceps extension","exact","1.00","true",""
"Dumbbell Kickback.mp4","male","Triceps","W6PxUkg","dumbbell kickback","exact","1.00","true",""
"Dumbbell Lying Alternate Extension.mp4","male","Triceps","NfP83rA","dumbbell lying alternate extension","exact","1.00","true",""
"Dumbbell Lying Triceps Extension.mp4","male","Triceps","mpKZGWz","dumbbell lying triceps extension","exact","1.00","true",""
"Dumbbell One Arm Triceps Extension.mp4","male","Triceps","nAuHPcD","dumbbell one arm triceps extension (on bench)","exact","1.00","true",""
"Dumbbell Pronate-grip Triceps Extension.mp4","male","Triceps","bpJL2Qs","dumbbell pronate-grip triceps extension","gemini","","true",""
"Dumbbell Seated Kickback.mp4","male","Triceps","en550rk","dumbbell seated kickback","exact","1.00","true",""
"Dumbbell Seated Triceps Extension.mp4","male","Triceps","kont8Ut","dumbbell seated triceps extension","exact","1.00","true",""
"EZ Barbell Lying Triceps Extension.mp4","male","Triceps","iZop9xO","barbell lying triceps extension","gemini","","true",""
"Lever Seated Dips.mp4","male","Triceps","BRImeP8","lever seated dip","gemini","","true",""
"Lever Triceps Extension (neutral grip).mp4","male","Triceps","Ser9eQp","lever triceps extension","exact","1.00","true",""
"Lever Triceps Extension.mp4","male","Triceps","Ser9eQp","lever triceps extension","exact","1.00","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/Ser9eQp-male.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\Ser9eQp-male.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a3"
"Old School Reverse Extensions.mp4","male","Triceps","","","unmatched","","",""
"Stretching - Kneeling Triceps Extension.mp4","male","Triceps","s0HKO2I","bodyweight kneeling triceps extension","gemini","","true",""
"Stretching - Reverse Dip.mp4","male","Triceps","NZ5Qqkz","reverse dip","gemini","","true",""
"45 Degree Bycicle Twisting Crunch.mp4","female","Abs","9Ap7miY","decline crunch","gemini","","true",""
"45 Degree Side Bend.mp4","female","Abs","Hy9D21L","45° side bend","gemini","","true",""
"Air Twisting Crunch.mp4","female","Abs","1ZFqTDN","air bike","gemini","","true",""
"Band Decline Sit-ups.mp4","female","Abs","zFzbBfL","band push sit-up","gemini","","true",""
"Band Side Bend.mp4","female","Abs","","","unmatched","","",""
"Band Standing Crunch.mp4","female","Abs","Kzg30R7","band standing crunch","exact","1.00","true",""
"Band Standing Lift.mp4","female","Abs","","","unmatched","","",""
"Band Twist (Up-down).mp4","female","Abs","fhZQPlV","cable twist (up-down)","gemini","","true",""
"Band Twist.mp4","female","Abs","aVs3BR3","cable twist","gemini","","true",""
"Bench Leg Raise.mp4","female","Abs","WhuFnR7","lying leg raise flat bench","gemini","","true",""
"Bent Knee Lying Twist.mp4","female","Abs","6sYyrRX","bent knee lying twist (male)","exact","1.00","true",""
"Cable Kneeling Crunch.mp4","female","Abs","WW95auq","cable kneeling crunch","exact","1.00","true",""
"Cable Standing Crunch.mp4","female","Abs","XU3ePuv","cable standing crunch (with rope attachment)","gemini","","true",""
"Cable Standing Lift.mp4","female","Abs","qFpAkpP","cable standing lift","exact","1.00","true",""
"Cable Twist (up-down).mp4","female","Abs","fhZQPlV","cable twist (up-down)","gemini","","true",""
"Crunch (on bench).mp4","female","Abs","9Ap7miY","decline crunch","gemini","","true",""
"Dumbbell Side Bend.mp4","female","Abs","IpONWYv","dumbbell side bend","exact","1.00","true",""
"Hanging Leg Hip Raise.mp4","female","Abs","VEcJRo2","hanging leg hip raise","exact","1.00","true",""
"Hanging Straight Leg Hip Raise.mp4","female","Abs","pj0X0tF","hanging straight leg hip raise","exact","1.00","true",""
"Hanging Straight Leg Raise.mp4","female","Abs","4Ml7QFO","hanging straight leg raise","exact","1.00","true",""
"Incline Leg Hip Raise.mp4","female","Abs","eVxAzgz","incline leg hip raise (leg straight)","exact","1.00","true",""
"Landmine 180.mp4","female","Abs","QYysSLV","landmine 180","exact","1.00","true",""
"Lever Seated Crunch.mp4","female","Abs","ZnJHhMk","lever seated crunch (chest pad)","gemini","","true",""
"Lever Seated Leg Raise Crunch.mp4","female","Abs","PQ2AtC3","lever seated leg raise crunch","exact","1.00","true",""
"Lying Floor Leg Raise.mp4","female","Abs","9IxJdtC","lying leg-hip raise","gemini","","true",""
"Lying Straight Leg Raise.mp4","female","Abs","leg_raise","Leg Raise","gemini","","true",""
"Otis-ups.mp4","female","Abs","UVL20oz","otis up","gemini","","true",""
"Side Bridge - Side Plank.mp4","female","Abs","RKjH6Lt","side bridge v. 2","gemini","","true",""
"Sit-up On Exercise Ball.mp4","female","Abs","","","unmatched","","",""
"Sit-ups.mp4","female","Abs","Bn6TXyO","sit-up v. 2","gemini","","true",""
"Spell Caster.mp4","female","Abs","p9cCe2r","spell caster","exact","1.00","true",""
"Stretching - Chin-to-chest Stretch.mp4","female","Abs","","","unmatched","","",""
"Stretching - Iron Cross Stretch.mp4","female","Abs","pZwUsKB","iron cross stretch","gemini","","true",""
"Stretching - Seated Twist (straight arm).mp4","female","Abs","2jl9K55","spine twist","gemini","","true",""
"Stretching - Spinal Stretch On Exercise Ball.mp4","female","Abs","","","unmatched","","",""
"Stretching - Standing Side Bend (bent arm).mp4","female","Abs","","","unmatched","","",""
"Twisting Crunch.mp4","female","Abs","crunch","Crunch","gemini","","true",""
"V-up.mp4","female","Abs","","","unmatched","","",""
"Vertical Leg Raise (on parallel bars).mp4","female","Abs","ZNgOYQU","vertical leg raise (on parallel bars)","exact","1.00","true",""
"Weighted Leg Extension Crunch.mp4","female","Abs","","","unmatched","","",""
"45 Degree Hyperextension.mp4","female","Back","zhMwOwE","hyperextension","gemini","","true",""
"Band Assisted Pull-up.mp4","female","Back","r1XNRYB","band assisted pull-up","gemini","","true",""
"Band Bent-over Row.mp4","female","Back","","","unmatched","","",""
"Band Kneeling One Arm Pulldown.mp4","female","Back","pmnrOp0","band kneeling one arm pulldown","exact","1.00","true",""
"Band One Arm Twisting Seated Row.mp4","female","Back","DKBwJrL","band one arm twisting seated row","exact","1.00","true",""
"Band One Leg Kickback Bent Position.mp4","female","Back","","","unmatched","","",""
"Band Pull Through.mp4","female","Back","VtTbiP3","band pull through","exact","1.00","true",""
"Band Seated Row.mp4","female","Back","Nu7jqFE","resistance band seated straight back row","gemini","","true",""
"Band Straight Back Seated Row.mp4","female","Back","Nu7jqFE","resistance band seated straight back row","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/Nu7jqFE-female.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\Nu7jqFE-female.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agen"
"Barbell Bent-over Row Overgrip.mp4","female","Back","eZyBC3j","barbell bent over row","gemini","","true",""
"Barbell Straight Leg Deadlift.mp4","female","Back","hrVQWvE","barbell straight leg deadlift","exact","1.00","true",""
"Barbell Underhand Bent-over Row.mp4","female","Back","SzX3uzM","barbell reverse grip bent over row","gemini","","true",""
"Bench Pull-ups.mp4","female","Back","mExgrF9","bench pull-ups","gemini","","true",""
"Cable Bar Lateral Pulldown (reverse-grip).mp4","female","Back","eYnzaCm","cable bar lateral pulldown","exact","1.00","true",""
"Cable Bar Lateral Pulldown (wide shoulder grip).mp4","female","Back","eYnzaCm","cable bar lateral pulldown","exact","1.00","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/eYnzaCm-female.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\eYnzaCm-female.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agen"
"Cable Close Grip Front Lat Pulldown.mp4","female","Back","qdRxqCj","cable pulldown (pro lat bar)","gemini","","true",""
"Cable One Arm Lateral Pulldown.mp4","female","Back","U5INZY6","cable one arm pulldown","gemini","","true",""
"Cable One Arm Twisting Seated Row.mp4","female","Back","DKBwJrL","band one arm twisting seated row","gemini","","true",""
"Cable Pulldown.mp4","female","Back","qdRxqCj","cable pulldown (pro lat bar)","gemini","","true",""
"Cable Seated High Row (V-bar).mp4","female","Back","pwt0pnM","cable seated high row (v-bar)","exact","1.00","true",""
"Cable Seated Row (normal grip).mp4","female","Back","fUBheHs","cable seated row","exact","1.00","true",""
"Cable Seated Row (parallel grip).mp4","female","Back","fUBheHs","cable seated row","exact","1.00","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/fUBheHs-female.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\fUBheHs-female.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agen"
"Cable Seated Row (wide-grip).mp4","female","Back","fUBheHs","cable seated row","exact","1.00","false","Command failed: npx wrangler r2 object put fitai-media/exercise-video/fUBheHs-female.mp4 --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\fUBheHs-female.mp4 --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent"
"Cable Straight Arm Pulldown.mp4","female","Back","x69MAlq","cable straight arm pulldown","gemini","","true",""
"Cable Straight Back Seated High Row (reverse-grip).mp4","female","Back","PNtsX17","cable reverse-grip straight back seated high row","gemini","","true",""
"Cable Straight Back Seated Row (V-grip).mp4","female","Back","Tq6gbK6","cable straight back seated row","exact","1.00","true",""
"Cambered Bar Lying Row.mp4","female","Back","R5swFnc","cambered bar lying row","exact","1.00","true",""
"Chin-ups  Pull-Ups.mp4","female","Back","0V2YQjW","pull up (neutral grip)","gemini","","true",""
"Chin-ups (narrow parallel grip).mp4","female","Back","G70mEAJ","chin-ups (narrow parallel grip)","exact","1.00","true",""
"Close Grip Chin-up.mp4","female","Back","VnfUNW7","close grip chin-up","gemini","","true",""
"Commando Pull-up.mp4","female","Back","0V2YQjW","pull up (neutral grip)","gemini","","true",""
"Dumbbell Bent-over Row.mp4","female","Back","BJ0Hz5L","dumbbell bent over row","exact","1.00","true",""
"Dumbbell Deadlift.mp4","female","Back","nUwVh7b","dumbbell deadlift","exact","1.00","true",""
"Dumbbell Hammer Grip Incline Bench Row.mp4","female","Back","7vG5o25","dumbbell incline row","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\7vG5o25-female.mp4 -frames:v 1 -q:v 4 "
"Dumbbell Incline Row.mp4","female","Back","7vG5o25","dumbbell incline row","exact","1.00","true",""
"Dumbbell Lying Rear Delt Row.mp4","female","Back","XUUD0Fs","dumbbell lying rear delt row","exact","1.00","true",""
"Dumbbell Palm Rotational Bent Over Row.mp4","female","Back","wt6rwjk","dumbbell palm rotational bent over row","exact","1.00","true",""
"Dumbbell Reverse Grip Row.mp4","female","Back","Nh3mvOO","dumbbell reverse grip row (female)","exact","1.00","true",""
"Dumbbell Stiff Leg Deadlift.mp4","female","Back","5eLRITT","dumbbell stiff leg deadlift","exact","1.00","true",""
"Hammer Grip Pull-up.mp4","female","Back","0V2YQjW","pull up (neutral grip)","gemini","","true",""
"Inverted Row Between Chairs.mp4","female","Back","bZGHsAZ","inverted row","gemini","","true",""
"Inverted Row With Straps.mp4","female","Back","jdiExfW","inverted row with straps","exact","1.00","true",""
"Kettlebell Deadlift.mp4","female","Back","deadlift","Deadlift","gemini","","true",""
"Lever Back Extension.mp4","female","Back","rUXfn3R","lever back extension","exact","1.00","true",""
"Lever High Row.mp4","female","Back","nZZZy9m","lever high row","exact","1.00","true",""
"Lever Reverse Hyperextension.mp4","female","Back","Krmb3cB","lever reverse hyperextension","exact","1.00","true",""
"Lever Reverse T-Bar Row.mp4","female","Back","BgljGjd","lever reverse t-bar row","gemini","","true",""
"Lever T-bar Row.mp4","female","Back","aaXr7ld","lever t bar row","exact","1.00","true",""
"Pull-up (shoulder grip).mp4","female","Back","lBDjFxJ","pull-up","gemini","","true",""
"Pull-up (wide back grip).mp4","female","Back","lBDjFxJ","pull-up","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\lBDjFxJ-female.mp4 -frames:v 1 -q:v 4 "
"Pull-up (wide front grip).mp4","female","Back","lBDjFxJ","pull-up","gemini","","true",""
"Reverse Grip Machine Lat Pulldown.mp4","female","Back","ecpY0rH","reverse grip machine lat pulldown","exact","1.00","true",""
"Reverse Grip Pull-up.mp4","female","Back","YAk5dIw","reverse grip pull-up","gemini","","true",""
"Ring High Row.mp4","female","Back","4OaumBr","suspended row","gemini","","true",""
"Single Dumbbell Stiff Leg Deadlift.mp4","female","Back","5eLRITT","dumbbell stiff leg deadlift","gemini","","true",""
"Smith Deadlift - Deadlift.mp4","female","Back","UfePqpx","smith deadlift","near_exact","1.00","true",""
"Stretching - Dynamic Back Stretch.mp4","female","Back","GSDioYu","upper back stretch","gemini","","true",""
"Stretching - Elbows Back Stretch.mp4","female","Back","chfnQnM","back pec stretch","gemini","","true",""
"Stretching - Kneeling Lat Stretch.mp4","female","Back","f38OEuO","kneeling lat stretch","gemini","","true",""
"Stretching - Middle Back Stretch.mp4","female","Back","GSDioYu","upper back stretch","gemini","","true",""
"Stretching - Seated Lower Back Stretch.mp4","female","Back","QFmz6ch","seated lower back stretch","gemini","","true",""
"Stretching - Seated Wide Angle Pose Sequence.mp4","female","Back","HIgYKAB","seated wide angle pose sequence","gemini","","true",""
"Stretching - Sitting Bent Over Back Stretch.mp4","female","Back","QFmz6ch","seated lower back stretch","gemini","","true",""
"Stretching - Slopes Towards Stretch.mp4","female","Back","1jXLYEw","standing lateral stretch","gemini","","true",""
"Stretching - Spine Stretch Forward.mp4","female","Back","JbC2iaV","spine stretch","gemini","","true",""
"Stretching - Spine Stretch.mp4","female","Back","JbC2iaV","spine stretch","gemini","","true",""
"Stretching - Standing Back Rotation Stretch.mp4","female","Back","","","unmatched","","",""
"Stretching - Standing Lateral Stretch.mp4","female","Back","1jXLYEw","standing lateral stretch","gemini","","true",""
"Barbell Curl.mp4","female","Biceps","25GPyDY","barbell curl","exact","1.00","true",""
"Barbell Drag Curl.mp4","female","Biceps","IENzBdA","barbell drag curl","exact","1.00","true",""
"Cable One Arm Curl.mp4","female","Biceps","YTur5nR","cable one arm curl","exact","1.00","true",""
"Cable Standing Inner Curl.mp4","female","Biceps","YwnI4ja","cable standing inner curl","exact","1.00","true",""
"Dumbbell Alternate Biceps Curl.mp4","female","Biceps","BU15nH4","dumbbell alternate biceps curl","gemini","","true",""
"Dumbbell Alternate Seated Biceps Curl.mp4","female","Biceps","BU15nH4","dumbbell alternate biceps curl","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/BU15nH4-female.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\BU15nH4-female.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agen"
"Dumbbell Biceps Curl.mp4","female","Biceps","NbVPDMW","dumbbell biceps curl","gemini","","true",""
"Dumbbell Concentration Curl.mp4","female","Biceps","gvsWLQw","dumbbell concentration curl","exact","1.00","true",""
"Dumbbell Cross Body Hammer Curl.mp4","female","Biceps","Qyk5J3p","dumbbell cross body hammer curl","exact","1.00","true",""
"Dumbbell Incline Biceps Curl.mp4","female","Biceps","F3xgbjF","dumbbell incline biceps curl","exact","1.00","true",""
"Dumbbell Incline Curl.mp4","female","Biceps","ae9UoXQ","dumbbell incline curl","exact","1.00","true",""
"Dumbbell Incline Hammer Curl.mp4","female","Biceps","ByX0WxV","dumbbell incline hammer curl","exact","1.00","true",""
"Dumbbell One Arm Zottman Preacher Curl.mp4","female","Biceps","sxY5Biu","dumbbell one arm zottman preacher curl","exact","1.00","true",""
"Dumbbell Preacher Curl Over Exercise Ball.mp4","female","Biceps","hwygydB","dumbbell preacher curl over exercise ball","exact","1.00","true",""
"Dumbbell Prone Incline Curl.mp4","female","Biceps","mwpPcr1","dumbbell prone incline curl","exact","1.00","true",""
"Dumbbell Seated Preacher Curl.mp4","female","Biceps","7D5bgLT","dumbbell seated preacher curl","exact","1.00","true",""
"EZ Barbell Biceps Curl.mp4","female","Biceps","6TG6x2w","ez barbell curl","gemini","","true",""
"Lever Preacher Curl.mp4","female","Biceps","b6hQYMb","lever preacher curl","exact","1.00","true",""
"Lying Supine Dumbbell Curl.mp4","female","Biceps","KUaZst7","dumbbell lying supine curl","near_exact","1.00","true",""
"Stretching - Butterfly Yoga Pose.mp4","female","Biceps","bWlZvXh","butterfly yoga pose","gemini","","true",""
"Band Standing Calf Raise.mp4","female","Calves","","","unmatched","","",""
"Barbell Clean And Press.mp4","female","Calves","SGY8Zui","barbell clean and press","exact","1.00","true",""
"Donkey Calf Raise.mp4","female","Calves","u5ESqzH","donkey calf raise","exact","1.00","true",""
"Dumbbell Front Squat.mp4","female","Calves","HsvHqgf","dumbbell squat","gemini","","true",""
"Dumbbell Seated Calf Raise.mp4","female","Calves","r29jP7S","dumbbell seated calf raise","exact","1.00","true",""
"Dumbbell Single Leg Calf Raise.mp4","female","Calves","1kB3Wmk","dumbbell single leg calf raise","exact","1.00","true",""
"Dumbbell Standing Calf Raise.mp4","female","Calves","dPmaUaU","dumbbell standing calf raise","exact","1.00","true",""
"Lever Seated Calf Raise.mp4","female","Calves","bOOdeyc","lever seated calf raise","exact","1.00","true",""
"Lever Standing Calf Raise.mp4","female","Calves","ykUOVze","lever standing calf raise","exact","1.00","true",""
"Sled 45 Degree Calf Press.mp4","female","Calves","qCNVnaU","sled 45в° calf press","gemini","","true",""
"Smith Calf Raise.mp4","female","Calves","6MaEjVA","smith standing leg calf raise","gemini","","true",""
