src/components/advanced/Camera.tsx(66,3): error TS2339: Property 'visible' does not exist on type 'CameraProps'.
src/components/ui/CustomDialog.tsx(300,39): error TS2339: Property 'statValue' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(301,39): error TS2339: Property 'statLabel' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(303,37): error TS2339: Property 'statItem' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(304,39): error TS2339: Property 'statValue' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(305,39): error TS2339: Property 'statLabel' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(307,37): error TS2339: Property 'statItem' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(308,39): error TS2339: Property 'statValue' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/CustomDialog.tsx(311,39): error TS2339: Property 'statLabel' does not exist on type '{ overlay: { flex: number; backgroundColor: string; justifyContent: "center"; alignItems: "center"; }; safeArea: { width: "85%"; maxWidth: number; }; dialogCard: { padding: number; alignItems: "center"; }; ... 7 more ...; lastActionButton: {}; }'.
src/components/ui/GradientBarChart.tsx(98,13): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/Input.tsx(90,13): error TS2322: Type 'false | "" | 0 | 0n | { paddingLeft: number; } | null | undefined' is not assignable to type 'TextStyle | Falsy | RegisteredStyle<TextStyle> | RecursiveArray<TextStyle | Falsy | RegisteredStyle<TextStyle>> | readonly (TextStyle | ... 1 more ... | RegisteredStyle<...>)[]'.
src/components/ui/Input.tsx(91,13): error TS2322: Type 'false | "" | 0 | 0n | { paddingRight: number; } | null | undefined' is not assignable to type 'TextStyle | Falsy | RegisteredStyle<TextStyle> | RecursiveArray<TextStyle | Falsy | RegisteredStyle<TextStyle>> | readonly (TextStyle | ... 1 more ... | RegisteredStyle<...>)[]'.
src/components/ui/loading/AuroraSpinner.tsx(137,29): error TS2551: Property '__getValue' does not exist on type 'Value'. Did you mean 'setValue'?
src/components/ui/loading/AuroraSpinner.tsx(164,11): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/loading/AuroraSpinner.tsx(200,14): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerSmall'.
src/components/ui/loading/AuroraSpinner.tsx(207,14): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerMedium'.
src/components/ui/loading/AuroraSpinner.tsx(214,14): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerLarge'.
src/components/ui/loading/AuroraSpinner.tsx(221,14): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerXLarge'.
src/components/ui/loading/AuroraSpinner.tsx(259,14): error TS2323: Cannot redeclare exported variable 'LoadingOverlay'.
src/components/ui/loading/AuroraSpinner.tsx(277,29): error TS2551: Property '__getValue' does not exist on type 'Value'. Did you mean 'setValue'?
src/components/ui/loading/AuroraSpinner.tsx(346,14): error TS2323: Cannot redeclare exported variable 'InlineLoading'.
src/components/ui/loading/AuroraSpinner.tsx(427,3): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerSmall'.
src/components/ui/loading/AuroraSpinner.tsx(427,3): error TS2484: Export declaration conflicts with exported declaration of 'AuroraSpinnerSmall'.
src/components/ui/loading/AuroraSpinner.tsx(428,3): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerMedium'.
src/components/ui/loading/AuroraSpinner.tsx(428,3): error TS2484: Export declaration conflicts with exported declaration of 'AuroraSpinnerMedium'.
src/components/ui/loading/AuroraSpinner.tsx(429,3): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerLarge'.
src/components/ui/loading/AuroraSpinner.tsx(429,3): error TS2484: Export declaration conflicts with exported declaration of 'AuroraSpinnerLarge'.
src/components/ui/loading/AuroraSpinner.tsx(430,3): error TS2323: Cannot redeclare exported variable 'AuroraSpinnerXLarge'.
src/components/ui/loading/AuroraSpinner.tsx(430,3): error TS2484: Export declaration conflicts with exported declaration of 'AuroraSpinnerXLarge'.
src/components/ui/loading/AuroraSpinner.tsx(431,3): error TS2323: Cannot redeclare exported variable 'LoadingOverlay'.
src/components/ui/loading/AuroraSpinner.tsx(431,3): error TS2484: Export declaration conflicts with exported declaration of 'LoadingOverlay'.
src/components/ui/loading/AuroraSpinner.tsx(432,3): error TS2323: Cannot redeclare exported variable 'InlineLoading'.
src/components/ui/loading/AuroraSpinner.tsx(432,3): error TS2484: Export declaration conflicts with exported declaration of 'InlineLoading'.
src/components/ui/loading/ProgressiveImage.tsx(262,14): error TS2323: Cannot redeclare exported variable 'ProgressiveImageBackground'.
src/components/ui/loading/ProgressiveImage.tsx(321,14): error TS2323: Cannot redeclare exported variable 'ProgressiveAvatar'.
src/components/ui/loading/ProgressiveImage.tsx(381,14): error TS2323: Cannot redeclare exported variable 'CachedProgressiveImage'.
src/components/ui/loading/ProgressiveImage.tsx(449,3): error TS2323: Cannot redeclare exported variable 'ProgressiveImageBackground'.
src/components/ui/loading/ProgressiveImage.tsx(449,3): error TS2484: Export declaration conflicts with exported declaration of 'ProgressiveImageBackground'.
src/components/ui/loading/ProgressiveImage.tsx(450,3): error TS2323: Cannot redeclare exported variable 'ProgressiveAvatar'.
src/components/ui/loading/ProgressiveImage.tsx(450,3): error TS2484: Export declaration conflicts with exported declaration of 'ProgressiveAvatar'.
src/components/ui/loading/ProgressiveImage.tsx(451,3): error TS2323: Cannot redeclare exported variable 'CachedProgressiveImage'.
src/components/ui/loading/ProgressiveImage.tsx(451,3): error TS2484: Export declaration conflicts with exported declaration of 'CachedProgressiveImage'.
src/components/ui/loading/SkeletonScreen.tsx(139,11): error TS2322: Type 'string | number' is not assignable to type 'DimensionValue | undefined'.
src/components/ui/loading/SkeletonScreen.tsx(145,11): error TS2322: Type 'string | number' is not assignable to type 'DimensionValue | undefined'.
src/components/ui/loading/SkeletonScreen.tsx(146,11): error TS2322: Type 'string | number' is not assignable to type 'DimensionValue | undefined'.
src/components/ui/loading/SkeletonScreen.tsx(152,11): error TS2322: Type 'string | number' is not assignable to type 'DimensionValue | undefined'.
src/components/ui/loading/SkeletonScreen.tsx(153,11): error TS2322: Type 'string | number' is not assignable to type 'DimensionValue | undefined'.
src/components/ui/loading/SkeletonScreen.tsx(234,14): error TS2323: Cannot redeclare exported variable 'SkeletonCard'.
src/components/ui/loading/SkeletonScreen.tsx(250,14): error TS2323: Cannot redeclare exported variable 'SkeletonListItem'.
src/components/ui/loading/SkeletonScreen.tsx(265,14): error TS2323: Cannot redeclare exported variable 'SkeletonProfile'.
src/components/ui/loading/SkeletonScreen.tsx(278,14): error TS2323: Cannot redeclare exported variable 'SkeletonText'.
src/components/ui/loading/SkeletonScreen.tsx(297,14): error TS2323: Cannot redeclare exported variable 'SkeletonGrid'.
src/components/ui/loading/SkeletonScreen.tsx(387,3): error TS2323: Cannot redeclare exported variable 'SkeletonCard'.
src/components/ui/loading/SkeletonScreen.tsx(387,3): error TS2484: Export declaration conflicts with exported declaration of 'SkeletonCard'.
src/components/ui/loading/SkeletonScreen.tsx(388,3): error TS2323: Cannot redeclare exported variable 'SkeletonListItem'.
src/components/ui/loading/SkeletonScreen.tsx(388,3): error TS2484: Export declaration conflicts with exported declaration of 'SkeletonListItem'.
src/components/ui/loading/SkeletonScreen.tsx(389,3): error TS2323: Cannot redeclare exported variable 'SkeletonProfile'.
src/components/ui/loading/SkeletonScreen.tsx(389,3): error TS2484: Export declaration conflicts with exported declaration of 'SkeletonProfile'.
src/components/ui/loading/SkeletonScreen.tsx(390,3): error TS2323: Cannot redeclare exported variable 'SkeletonText'.
src/components/ui/loading/SkeletonScreen.tsx(390,3): error TS2484: Export declaration conflicts with exported declaration of 'SkeletonText'.
src/components/ui/loading/SkeletonScreen.tsx(391,3): error TS2323: Cannot redeclare exported variable 'SkeletonGrid'.
src/components/ui/loading/SkeletonScreen.tsx(391,3): error TS2484: Export declaration conflicts with exported declaration of 'SkeletonGrid'.
src/components/ui/MetricInput.tsx(139,15): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/MetricInput.tsx(149,15): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/Modal.tsx(113,17): error TS2322: Type '{ height: string | number; }' is not assignable to type 'ViewStyle | Falsy | RegisteredStyle<ViewStyle> | RecursiveArray<ViewStyle | Falsy | RegisteredStyle<ViewStyle>> | readonly (ViewStyle | ... 1 more ... | RegisteredStyle<...>)[]'.
src/components/ui/PulseButton.tsx(82,13): error TS2322: Type '[...string[], string]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/PulseButton.tsx(93,11): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/SegmentedControl.tsx(83,11): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/ui/ToggleCard.tsx(145,15): error TS2322: Type 'string[]' is not assignable to type 'readonly [ColorValue, ColorValue, ...ColorValue[]]'.
src/components/workout/index.ts(4,30): error TS2307: Cannot find module './ExerciseCard' or its corresponding type declarations.
src/components/workout/index.ts(5,30): error TS2307: Cannot find module './WorkoutTimer' or its corresponding type declarations.
src/components/workout/index.ts(6,28): error TS2307: Cannot find module './SetCounter' or its corresponding type declarations.
src/data/achievements.ts(19,7): error TS2322: Type '"workouts_completed"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(28,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(38,7): error TS2322: Type '"workout_streak"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(40,7): error TS2322: Type '"days"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(48,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(58,7): error TS2322: Type '"workout_streak"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(60,7): error TS2322: Type '"days"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(68,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(78,7): error TS2322: Type '"workout_streak"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(80,7): error TS2322: Type '"days"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(88,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(98,7): error TS2322: Type '"workout_streak"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(100,7): error TS2322: Type '"days"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(107,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(119,7): error TS2322: Type '"strength_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(128,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(138,7): error TS2322: Type '"strength_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(147,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(157,7): error TS2322: Type '"strength_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(165,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(177,7): error TS2322: Type '"cardio_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(186,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(196,7): error TS2322: Type '"cardio_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(205,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(215,7): error TS2322: Type '"cardio_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(223,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(235,7): error TS2322: Type '"nutrition_streak"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(237,7): error TS2322: Type '"days"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(245,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(255,7): error TS2322: Type '"nutrition_streak"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(257,7): error TS2322: Type '"days"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(264,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(274,7): error TS2322: Type '"calorie_goals_met"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(276,7): error TS2322: Type '"week"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(283,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(293,7): error TS2322: Type '"protein_goals_met"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(295,7): error TS2322: Type '"week"' is not assignable to type '"daily" | "weekly" | "monthly" | "all_time" | undefined'.
src/data/achievements.ts(302,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(314,7): error TS2322: Type '"weight_lost"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(323,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(333,7): error TS2322: Type '"weight_lost"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(341,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(351,7): error TS2322: Type '"muscle_gained"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(359,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(371,7): error TS2322: Type '"early_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(379,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(389,7): error TS2322: Type '"late_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(397,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(407,7): error TS2322: Type '"weekend_workouts"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(415,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(425,7): error TS2322: Type '"unique_exercises"' is not assignable to type '"streak" | "total" | "personal_best" | "challenge" | "special"'.
src/data/achievements.ts(433,5): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(487,59): error TS2339: Property 'difficulty' does not exist on type 'Achievement'.
src/data/achievements.ts(494,59): error TS2551: Property 'isUnlocked' does not exist on type 'Achievement'. Did you mean 'unlockedAt'?
src/data/achievements.ts(501,60): error TS2551: Property 'isUnlocked' does not exist on type 'Achievement'. Did you mean 'unlockedAt'?
src/data/achievements.ts(515,59): error TS2551: Property 'isUnlocked' does not exist on type 'Achievement'. Did you mean 'unlockedAt'?
src/data/achievements.ts(516,50): error TS2551: Property 'reward' does not exist on type 'Achievement'. Did you mean 'rewards'?
src/data/achievements.ts(525,60): error TS2551: Property 'isUnlocked' does not exist on type 'Achievement'. Did you mean 'unlockedAt'?
src/data/achievements.ts(526,21): error TS2362: The left-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type.
src/data/achievements.ts(526,41): error TS2363: The right-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type.
src/data/achievements.ts(549,35): error TS2551: Property 'isUnlocked' does not exist on type 'Achievement'. Did you mean 'unlockedAt'?
src/data/achievements.ts(554,3): error TS2322: Type 'number' is not assignable to type '{ current: number; target: number; unit: string; }'.
src/data/achievements.ts(557,17): error TS2551: Property 'isUnlocked' does not exist on type 'Achievement'. Did you mean 'unlockedAt'?
src/data/foods.ts(14,5): error TS2820: Type '"protein"' is not assignable to type 'FoodCategory'. Did you mean '"proteins"'?
src/data/foods.ts(25,21): error TS2820: Type '"high-protein"' is not assignable to type 'DietaryLabel'. Did you mean '"high_protein"'?
src/data/foods.ts(25,37): error TS2820: Type '"low-carb"' is not assignable to type 'DietaryLabel'. Did you mean '"low_carb"'?
src/data/foods.ts(31,5): error TS2820: Type '"protein"' is not assignable to type 'FoodCategory'. Did you mean '"proteins"'?
src/data/foods.ts(42,21): error TS2820: Type '"high-protein"' is not assignable to type 'DietaryLabel'. Did you mean '"high_protein"'?
src/data/foods.ts(42,37): error TS2322: Type '"omega-3"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(42,48): error TS2820: Type '"low-carb"' is not assignable to type 'DietaryLabel'. Did you mean '"low_carb"'?
src/data/foods.ts(48,5): error TS2820: Type '"protein"' is not assignable to type 'FoodCategory'. Did you mean '"proteins"'?
src/data/foods.ts(59,21): error TS2820: Type '"high-protein"' is not assignable to type 'DietaryLabel'. Did you mean '"high_protein"'?
src/data/foods.ts(59,37): error TS2322: Type '"complete-protein"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(65,5): error TS2820: Type '"protein"' is not assignable to type 'FoodCategory'. Did you mean '"proteins"'?
src/data/foods.ts(75,17): error TS2322: Type '"dairy"' is not assignable to type 'Allergen'.
src/data/foods.ts(76,21): error TS2820: Type '"high-protein"' is not assignable to type 'DietaryLabel'. Did you mean '"high_protein"'?
src/data/foods.ts(76,37): error TS2322: Type '"probiotic"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(76,50): error TS2322: Type '"low-fat"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(82,5): error TS2820: Type '"protein"' is not assignable to type 'FoodCategory'. Did you mean '"proteins"'?
src/data/foods.ts(92,17): error TS2322: Type '"soy"' is not assignable to type 'Allergen'.
src/data/foods.ts(93,30): error TS2322: Type '"plant-protein"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(93,47): error TS2820: Type '"low-carb"' is not assignable to type 'DietaryLabel'. Did you mean '"low_carb"'?
src/data/foods.ts(112,21): error TS2322: Type '"whole-grain"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(112,36): error TS2820: Type '"gluten-free"' is not assignable to type 'DietaryLabel'. Did you mean '"gluten_free"'?
src/data/foods.ts(129,21): error TS2322: Type '"complete-protein"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(129,41): error TS2820: Type '"gluten-free"' is not assignable to type 'DietaryLabel'. Did you mean '"gluten_free"'?
src/data/foods.ts(129,56): error TS2322: Type '"superfood"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(145,17): error TS2322: Type '"gluten"' is not assignable to type 'Allergen'.
src/data/foods.ts(146,21): error TS2322: Type '"whole-grain"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(146,36): error TS2322: Type '"high-fiber"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(163,21): error TS2322: Type '"high-fiber"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(163,35): error TS2322: Type '"vitamin-a"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(163,48): error TS2322: Type '"complex-carbs"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(182,21): error TS2322: Type '"low-calorie"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(182,36): error TS2322: Type '"high-fiber"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(182,50): error TS2322: Type '"vitamin-c"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(199,21): error TS2322: Type '"low-calorie"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(199,36): error TS2322: Type '"iron"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(199,44): error TS2322: Type '"folate"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(216,21): error TS2322: Type '"low-calorie"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(216,36): error TS2322: Type '"vitamin-c"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(216,49): error TS2322: Type '"antioxidants"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(235,21): error TS2322: Type '"potassium"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(235,34): error TS2322: Type '"natural-sugar"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(235,51): error TS2322: Type '"pre-workout"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(252,21): error TS2322: Type '"low-calorie"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(252,36): error TS2322: Type '"high-fiber"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(252,50): error TS2322: Type '"antioxidants"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(269,21): error TS2322: Type '"antioxidants"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(269,37): error TS2322: Type '"superfood"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(269,50): error TS2322: Type '"low-calorie"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(286,21): error TS2322: Type '"healthy-fats"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(286,37): error TS2322: Type '"high-fiber"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(286,51): error TS2322: Type '"potassium"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(294,5): error TS2322: Type '"nuts_seeds"' is not assignable to type 'FoodCategory'.
src/data/foods.ts(305,21): error TS2322: Type '"healthy-fats"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(305,37): error TS2820: Type '"high-protein"' is not assignable to type 'DietaryLabel'. Did you mean '"high_protein"'?
src/data/foods.ts(305,53): error TS2322: Type '"vitamin-e"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(311,5): error TS2322: Type '"nuts_seeds"' is not assignable to type 'FoodCategory'.
src/data/foods.ts(322,21): error TS2322: Type '"omega-3"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(322,32): error TS2322: Type '"high-fiber"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(322,46): error TS2322: Type '"superfood"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(340,17): error TS2322: Type '"dairy"' is not assignable to type 'Allergen'.
src/data/foods.ts(341,21): error TS2322: Type '"calcium"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(341,32): error TS2322: Type '"protein"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(357,17): error TS2322: Type '"dairy"' is not assignable to type 'Allergen'.
src/data/foods.ts(358,21): error TS2820: Type '"high-protein"' is not assignable to type 'DietaryLabel'. Did you mean '"high_protein"'?
src/data/foods.ts(358,37): error TS2322: Type '"low-fat"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(358,48): error TS2322: Type '"calcium"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(366,5): error TS2322: Type '"oils_fats"' is not assignable to type 'FoodCategory'.
src/data/foods.ts(377,21): error TS2322: Type '"healthy-fats"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(377,37): error TS2322: Type '"monounsaturated"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(377,56): error TS2322: Type '"antioxidants"' is not assignable to type 'DietaryLabel'.
src/data/foods.ts(392,35): error TS2367: This comparison appears to be unintentional because the types 'FoodCategory' and '"protein"' have no overlap.
src/data/foods.ts(420,35): error TS2367: This comparison appears to be unintentional because the types 'FoodCategory' and '"nuts_seeds"' have no overlap.
src/data/foods.ts(434,35): error TS2367: This comparison appears to be unintentional because the types 'FoodCategory' and '"oils_fats"' have no overlap.
src/data/foods.ts(453,61): error TS2345: Argument of type 'string' is not assignable to parameter of type 'DietaryLabel'.
src/data/foods.ts(460,38): error TS2339: Property 'macros' does not exist on type 'Food'.
src/data/foods.ts(467,38): error TS2339: Property 'calories' does not exist on type 'Food'.
src/data/foods.ts(500,38): error TS2339: Property 'servingSize' does not exist on type 'Food'.
src/data/foods.ts(502,31): error TS2339: Property 'calories' does not exist on type 'Food'.
src/data/foods.ts(504,32): error TS2339: Property 'macros' does not exist on type 'Food'.
src/data/foods.ts(505,38): error TS2339: Property 'macros' does not exist on type 'Food'.
src/data/foods.ts(506,28): error TS2339: Property 'macros' does not exist on type 'Food'.
src/data/foods.ts(507,30): error TS2339: Property 'macros' does not exist on type 'Food'.
src/data/traditionalServingSizes.ts(183,5): error TS1117: An object literal cannot have multiple properties with the same name.
src/features/nutrition/IngredientMapper.ts(3,10): error TS2724: '"../../services/freeNutritionAPIs"' has no exported member named 'freeNutritionAPIs'. Did you mean 'FreeNutritionAPIs'?
src/features/nutrition/IngredientMapper.ts(37,32): error TS2339: Property 'servingSize' does not exist on type 'Food'.
src/features/nutrition/IngredientMapper.ts(38,36): error TS2339: Property 'calories' does not exist on type 'Food'.
src/features/nutrition/IngredientMapper.ts(39,34): error TS2339: Property 'macros' does not exist on type 'Food'.
src/features/nutrition/IngredientMapper.ts(73,26): error TS2339: Property 'servingSize' does not exist on type 'Food'.
src/features/nutrition/IngredientMapper.ts(74,30): error TS2339: Property 'calories' does not exist on type 'Food'.
